City,State,Latitude,Longitude,UniqueFastFoodChains
Athens,GA,33.940263,-83.47181072,1
Athens,GA,33.9473,-83.4091,1
Athens,GA,33.949153,-83.412403,1
Athens,GA,33.950443,-83.408596,1
Athens,GA,33.951792,-83.363002,1
Athens,GA,33.954404,-83.390363,1
Athens,GA,33.962742,-83.398445,1
Athens,OH,39.320048,-82.105251,1
Athens,OH,39.336855,-82.067974,1
Athens,TN,35.452393,-84.621757,1
Athens,TX,32.203958,-95.862406,1
Atlanta,GA,33.60850055,-84.43637749,1
Atlanta,GA,33.653994,-84.506169,1
Atlanta,GA,33.658516,-84.417544,1
Atlanta,GA,33.680698,-84.393942,1
Atlanta,GA,33.681416,-84.423977,1
Atlanta,GA,33.68375,-84.43814,1
Atlanta,GA,33.689926,-84.488197,1
Atlanta,GA,33.697471,-84.40768,1
Atlanta,GA,33.7031,-84.407619,1
Atlanta,GA,33.738257,-84.421383,1
Atlanta,GA,33.757947,-84.394624,1
Atlanta,GA,33.763596,-84.372285,1
Atlanta,GA,33.771177,-84.37215,1
Atlanta,GA,33.771188,-84.373631,1
Atlanta,GA,33.773066,-84.410852,1
Atlanta,GA,33.773496,-84.359008,1
Atlanta,GA,33.805324,-84.367403,1
Atlanta,GA,33.811753,-84.425766,1
Atlanta,GA,33.8146,-84.3101,1
Atlanta,GA,33.818782,-84.388549,1
Atlanta,GA,33.820251,-84.38833,1
Atlanta,GA,33.820363,-84.45234,1
Atlanta,GA,33.829998,-84.332944,1
Atlanta,GA,33.835014,-84.337935,1
Atlanta,GA,33.842231,-84.328732,1
Atlanta,GA,33.844073,-84.327446,1
Atlanta,GA,33.844431,-84.371128,1
Atlanta,GA,33.85,-84.429745,1
Atlanta,GA,33.859013,-84.340614,1
Atlanta,GA,33.86021,-84.309952,1
Atlanta,GA,33.873602,-84.38098,1
Atlanta,GA,33.880324,-84.275398,1
Atlanta,GA,33.887671,-84.286569,1
Atlanta,GA,33.895572,-84.283386,1
Atlanta,GA,33.898915,-84.251369,1
Atlanta,GA,33.901292,-84.297799,1
Atlanta,GA,33.905019,-84.429912,1
Atlanta,GA,33.923765,-84.338115,1
Atlanta,GA,33.926834,-84.337654,1
Atlanta,GA,33.929315,-84.379205,1
Atlanta,GA,33.994948,-84.350518,1
Atlanta,TX,33.11533,-94.18138,1
Atlanta,TX,33.116343,-94.180814,1
Atlantic Beach,FL,30.335676,-81.415375,1
Atoka,OK,34.380918,-96.130427,1
Attleboro,MA,41.92023235,-71.35787658,1
Auburn,CA,38.90162,-121.074773,1
Auburn,CA,38.927033,-121.087568,1
Auburn,IN,41.36617,-85.078917,1
Auburn,IN,41.366735,-85.069754,1
Auburn,IN,41.367208,-85.07851,1
Auburn,MI,43.59953,-84.089504,1
Auburn,NE,40.38128,-95.838187,1
Auburn,NY,42.948394,-76.548617,1
Auburn,WA,47.320191,-122.230218,1
Auburn,WA,47.320698,-122.227109,1
Auburn,WA,47.321122,-122.22367,1
Auburn Hills,MI,42.701585,-83.306538,1
Auburn Hills,MI,42.702887,-83.306602,1
Auburndale,FL,28.0535,-81.7766,1
Auburndale,FL,28.055407,-81.778092,1
Auburndale,FL,28.05673,-81.8184,1
Auburndale,FL,28.05859,-81.78832,1
Augusta,GA,33.399318,-82.005569,1
Augusta,GA,33.419103,-82.077368,1
Augusta,GA,33.421395,-82.063045,1
Augusta,GA,33.439921,-82.020037,1
Augusta,GA,33.440639,-82.021415,1
Augusta,GA,33.467305,-82.08037,1
Augusta,GA,33.46734,-82.07989,1
Augusta,GA,33.46868,-82.075236,1
Augusta,GA,33.475292,-81.995946,1
Augusta,GA,33.47578,-81.991378,1
Augusta,GA,33.476141,-81.99899,1
Augusta,GA,33.486344,-82.13351,1
Augusta,GA,33.504425,-82.08886,1
Augusta,GA,33.507432,-82.142786,1
Augusta,GA,33.508039,-82.1079,1
Augusta,GA,33.510967,-82.038573,1
Augusta,GA,33.513269,-82.053941,1
Augusta,ME,44.31151,-69.785355,1
Augusta,ME,44.314022,-69.799477,1
Augusta,ME,44.31407,-69.801106,1
Augusta,ME,44.314556,-69.800117,1
Augusta,ME,44.31707,-69.76753,1
Aurora,CO,39.59588,-104.70392,1
Aurora,CO,39.600056,-104.709226,1
Aurora,CO,39.604217,-104.716755,1
Aurora,CO,39.651549,-104.772375,1
